id_vendedor,nome,cidade_loja,data_contratacao,meta_mensal
1,Agatha Camargo,Itobi,2026-09-11,28072.02
2,Enzo Costela,Mococa,2026-08-22,19391.18
3,Srta. Ana Liz Ribeiro,Tambaú,2024-05-15,20993.51
4,Cecilia Cunha,Tambaú,2025-06-02,10366.78
5,Maria Vitória Ribeiro,Vargem Grande do Sul,2025-09-04,13369.9
6,Laura da Mota,Itobi,2026-06-26,22719.5
7,Maitê Cardoso,São João da Boa Vista,2025-02-16,25915.41
8,Arthur Miguel Barros,Mococa,2024-10-12,16125.02
9,Lorenzo Castro,Itobi,2025-02-22,10808.23
10,Maria Cecília Vargas,Vargem Grande do Sul,2026-04-15,15545.9
11,Maria Luiza Leão,Itobi,2025-08-28,18273.22
12,Stella da Luz,Casa Branca,2024-10-07,10606.36
13,João Felipe Cavalcante,São José do Rio Pardo,2026-03-02,26132.72
14,Sra. Maitê Lima,Mococa,2024-11-12,12416.72
15,Bryan Cunha,Tambaú,2026-01-25,24923.98
16,Isabella Macedo,Casa Branca,2024-04-06,18271.33
17,Sr. Luiz Henrique Pereira,Vargem Grande do Sul,2024-09-07,27471.69
18,Igor Sampaio,São José do Rio Pardo,2026-05-17,25903.71
19,Gael Henrique Costa,São João da Boa Vista,2024-04-30,26938.44
20,Pedro Miguel Fogaça,Casa Branca,2026-02-10,14491.87
21,Srta. Carolina Câmara,São João da Boa Vista,2025-06-25,27368.37
22,Vitor Hugo Brito,Mococa,2025-10-02,23752.17
23,Maria Luiza Viana,São José do Rio Pardo,2024-09-20,15725.7
24,Ana Luiza Moura,Aguaí,2026-03-21,19702.08
25,Sra. Emanuelly Fernandes,São João da Boa Vista,2025-10-25,17076.92
