id_vendedor,nome,cidade_loja,data_contratacao,meta_mensal
1,Dr. Alexandre Pacheco,Tambaú,2025-10-30,15693.88
2,Srta. Giovanna Azevedo,Mococa,2025-07-29,14289.98
3,Apollo Porto,Casa Branca,2025-09-26,28090.76
4,Dra. Hellena Correia,Mococa,2026-06-05,25754.61
5,Danilo Farias,Vargem Grande do Sul,2024-11-02,15746.95
6,Dra. Anna Liz das Neves,Aguaí,2025-11-02,14702.43
7,Lucca Carvalho,Tambaú,2024-06-01,14555.28
8,Sr. Léo Peixoto,Mococa,2025-07-26,23297.23
9,Luiz Henrique Vasconcelos,Mococa,2024-03-25,19551.58
10,Paulo da Rosa,São João da Boa Vista,2025-03-17,21974.35
11,Luiz Gustavo Duarte,Aguaí,2024-01-12,21348.9
12,Theodoro Santos,Itobi,2025-05-21,19585.84
13,Davi Luiz Barbosa,Itobi,2025-04-25,15599.93
14,Isabela Dias,Itobi,2025-12-04,13307.72
15,Sr. Brayan Jesus,Itobi,2025-03-30,22013.76
16,Antonella Ribeiro,Itobi,2025-05-15,18997.67
17,Bernardo Moreira,Casa Branca,2025-12-09,29956.51
18,Hellena Nascimento,São José do Rio Pardo,2024-07-27,26234.83
19,Théo Alves,Casa Branca,2025-01-05,28711.06
20,Nina Costa,São José do Rio Pardo,2025-11-22,16700.76
21,Lorena Cassiano,Itobi,2025-07-13,21207.35
22,Caleb Guerra,Itobi,2026-07-02,9590.28
23,Natália Sampaio,Itobi,2025-01-01,8941.01
24,Dr. Luiz Fernando Cavalcanti,Mococa,2026-05-01,14892.41
25,Noah Vargas,Casa Branca,2024-06-07,22187.24
